CODIGO_ANTERIOR,NOME_ANTERIOR,NOME_SUGERIDO,GRUPO,SUBGRUPO,GRUPO_SUBGRUPO
,CABO 0.75 VERMELHO ROLO 100 METROS,CABO 0.75MM VERMELHO - 100M,02,01,02.01
,CABO 4MM PRETO ROLO 100 METROS,CABO 4MM PRETO - 100M,02,01,02.01
,MOTORREDUTOR DE COROA E ROSCA SEM-FIM,MOTORREDUTOR COROA E ROSCA,06,04,06.04
,INVERSOR DE FREQUENCIA WEG CFW500 10CV 220V TRIFASICO,INVERSOR FREQUÊNCIA WEG CFW500 10CV 220V,02,02,02.02
,CHAPA # 14 - 1.9MM GALVANIZADA + CORTE E DOBRA,CHAPA GALVANIZADA #14 1.9MM,01,01,01.01
,QUADRO DE COMANDO MCXR-VF MA (15HP 220V 47A),QUADRO COMANDO MCXR-VF 15HP 220V,02,02,02.02
,SELETOR MCX/MCXR ELEVADOR 8P,SELETOR MCX/MCXR 8P,02,03,02.03
,IPD MATRIZ PMC-02-VM 16P 55MM,IPD MATRIZ PMC-02-VM 16P,02,03,02.03
,Botoeira de cabina 200 x 710mm com botão MX luminoso,BOTOEIRA CABINA 200X710MM - 3 ANDARES,02,03,02.03
,Botoeiras de pavimento 95 x 240mm com 01 botão MX,BOTOEIRA PAVIMENTO 95X240MM - 1 BOTÃO,02,03,02.03
,Botoeiras de pavimento 95 x 240mm com 02 botões MX,BOTOEIRA PAVIMENTO 95X240MM - 2 BOTÕES,02,03,02.03
,Botoeira de cabina 200 x 810mm com botão MX luminoso,BOTOEIRA CABINA 200X810MM - 7 ANDARES,02,03,02.03
,Botoeiras de pavimento 80 x 240mm com 01 botão MX,BOTOEIRA PAVIMENTO 80X240MM - 1 BOTÃO,02,03,02.03
,Botoeiras de pavimento 80 x 240mm com 02 botões MX,BOTOEIRA PAVIMENTO 80X240MM - 2 BOTÕES,02,03,02.03
,TUBO 50X30X1.20 PRETO - 6000MM,TUBO 50X30X1.20 - 6M,01,02,01.02
,SELETOR MCX/MCXR ELEVADOR 5P,SELETOR MCX/MCXR 5P,02,03,02.03
,PC12L09002280C - Porta de cabina completa,PORTA CABINA HYDRA 12L 900X2280MM AÇO,04,01,04.01
,KSAE2PPB90FS11L90200AC - Augusta Evo 2.0 Pavimento,PORTA PAVIMENTO AUGUSTA EVO 900X2000MM AÇO ESQ,04,02,04.02
,GUIA T50 COMPLETA COM TALA E PARAFUSO (5M),GUIA T50 COMPLETA - 5M,03,01,03.01
,GUIA T70 COMPLETA COM TALA E PARAFUSO (5M),GUIA T70 COMPLETA - 5M,03,01,03.01
,LIMITADOR DE VELOCIDADE 45M/MIN BIDIRECIONAL,LIMITADOR VELOCIDADE 45M/MIN BIDIRECIONAL,03,05,03.05
,POLIA TENSORA PARA LIMITADOR BIDIRECIONAL,POLIA TENSORA LIMITADOR 5/16",03,05,03.05
,GARRAFÃO TERMICO 5 LITROS - COLABORADOR JEAN,GARRAFÃO TÉRMICO 5L,99,05,99.05
,VASSOURA PIAÇAVA - TORNEARIA PARA LIMPAR CAVACO,VASSOURA PIAÇAVA,99,05,99.05
,CHAVETA 14X9X30 PARA TORNEARIA,CHAVETA 14X9X30MM,99,07,99.07
,GUIA #14 COM 3.0 M (GUIA DE PORTÃO BASCULANTE),GUIA PORTÃO BASCULANTE #14 - 3M,03,01,03.01
,SENSOR MAGNETICO 'NA' 30V,SENSOR MAGNÉTICO NA 30V,02,04,02.04
,Botoeiras de pavimento p/ m.carga com botão industrial,BOTOEIRA PAVIMENTO MONTA-CARGA,02,03,02.03
,MAQUINA DE TRAÇÃO VOLPI VF3X 1440KG 11KW,MÁQUINA TRAÇÃO VOLPI VF3X 1440KG 11KW,06,03,06.03
,OLEO LUBRIFICANTE 31 PARA GUIA DE ELEVADOR,ÓLEO LUBRIFICANTE 31,01,06,01.06
,SUPORTE COM CORREDIÇA PARA GUIA 5MM (T50) CONTRAPESO,CORREDIÇA SUPORTE GUIA 5MM T50 CONTRAPESO,03,02,03.02
,EIXO LINEAR LISO 40MM COMP 3 pçs - 2000 mm,EIXO LINEAR 40MM - 2M,01,03,01.03
,CHAPA 14 GALVANIZADA 2MM - 1.20 X 3 METROS,CHAPA GALVANIZADA #14 2MM 1200X3000,01,01,01.01
,TIRANTE COM MOLA 3/8 POL 10MM,TIRANTE COM MOLA 3/8",03,04,03.04
,CLIP PARA TIRANTE 3/8,CLIPS TIRANTE 3/8",03,04,03.04
,CONDULETE ALUM MULTIPLO X 3/4" S/R S/TP,CONDULETE ALUMÍNIO MÚLTIPLO 3/4",02,06,02.06
,TAMPA P/COND. MULT CEGA 1/2-3/4" ALUM,TAMPA CONDULETE CEGA 3/4",02,06,02.06
,CONDULETE ALUM T 3/4" S/R S/TP,CONDULETE ALUMÍNIO T 3/4",02,06,02.06
