CODIGO_ANTERIOR,NOME_ANTERIOR,NOME_SUGERIDO,GRUPO,SUBGRUPO,GRUPO_SUBGRUPO
,GUIA COMPLETA REFILADA COM TALA E PARAFUSOS T-70 5M,GUIA T70 COMPLETA REFILADA - 5M,03,01,03.01
,GUIA COMPLETA REFILADA COM TALA E PARAFUSOS T-50 5M,GUIA T50 COMPLETA REFILADA - 5M,03,01,03.01
,GUIA T-89 COMPLETA 5 METROS,GUIA T89 COMPLETA - 5M,03,01,03.01
,GUIA T-50 COMPLETA 5 METROS,GUIA T50 COMPLETA - 5M,03,01,03.01
,PC12L10002280C - Porta de cabina T12L 1000x2280mm,PORTA CABINA HYDRA T12L 1000X2280MM AÇO BEGE,04,01,04.01
,KSAE2PPB90FS11L100200AC - Augusta Evo 2.0 Pavimento,PORTA PAVIMENTO AUGUSTA EVO 1000X2000MM AÇO ESQ,04,02,04.02
,CHAPA # 14 - 1.95MM GALV - CORTE E DOBRA,CHAPA GALVANIZADA #14 1.95MM,01,01,01.01
,JPF-1 - RELE FALTA DE FASE 220/380VCA S/NEUTRO,RELÉ FALTA DE FASE JPF-1 220/380V,02,02,02.02
,TRINCO PARA PORTA PANTOGRAFICA (TC ESQUERDO),TRINCO PORTA PANTOGRÁFICA ESQ,04,03,04.03
,LONA ANTI CHAMA LJ/PT 4X4 MTS (16 MTS),LONA ANTI-CHAMA 4X4M,99,05,99.05
,CAPACITOR 35+2.5 MDF,CAPACITOR 35+2.5MF,99,07,99.07
,GUIA PARA ELEVADOR COMPLETA T-89 COMPLETA 5 METROS,GUIA T89 COMPLETA - 5M,03,01,03.01
,GUIA PARA ELEVADOR COMPLETA T-50 COMPLETA 5 METROS,GUIA T50 COMPLETA - 5M,03,01,03.01
,CORREDIÇA DE CONTRAPESO PARA GUIA DE ELEVADOR (5MM),CORREDIÇA CONTRAPESO 5MM,03,02,03.02
,Conjunto guiador folha. Tipo BASIC. AGH-15,GUIADOR FOLHA BASIC AGH-15,04,03,04.03
,Roldanas. PFR-08. Sincronização. Ø 47 mm,ROLDANA PFR-08 SINCRONIZAÇÃO Ø47MM,04,03,04.03
,Pinhão motor. Porta cabine deslizante Ø 47.5 mm,PINHÃO MOTOR Ø47.5MM ALUMÍNIO,04,03,04.03
,Roldanas. PFR-62. Concêntrica. Ø 48 mm,ROLDANA PFR-62 CONCÊNTRICA Ø48MM,04,03,04.03
,Roldanas. PFR-03. Excêntrica. Ø 48 mm,ROLDANA PFR-03 EXCÊNTRICA Ø48MM,04,03,04.03
,Módulo eletrônico. VF5+. Resistência 10 Ohms,MÓDULO ELETRÔNICO VF5+ MÃO ESQ,04,03,04.03
,Contato elétrico. Contato de série 60 mm,CONTATO ELÉTRICO 60MM,04,03,04.03
,Patim guiador folha. PGH-14. Tipo I,PATIM GUIADOR PGH-14,04,03,04.03
,JTE-1 - RELE DE TEMPO C/ RET. NA ENERG. 03 MIN,RELÉ TEMPORIZADOR JTE-1 3MIN,02,02,02.02
,GUIA T-50 COMPLETA COM PARAFUSOS TALA E CLIPS,GUIA T50 COMPLETA COM CLIPS - 5M,03,01,03.01
