GRUPO,SUBGRUPO,CODIGO,DESCRICAO,EXEMPLOS
01,01,01.01,Chapas e Laminados,"Chapas inox (430, 304), galvanizadas, pintadas, alumínio, xadrez, antiderrapante"
01,02,01.02,Perfis e Vigas,"Perfis U, vigas WI, vigas U, tubos estruturais (30x30, 50x30, etc.)"
01,03,01.03,Barras e Eixos,"Barras redondas, chatas, roscadas, eixos lineares"
01,04,01.04,Fixadores e Parafusos,"Parafusos máquina, franceses, autobrocantes, porcas, arruelas, chumbadores"
01,05,01.05,Consumíveis de Fabricação,"Eletrodos, discos de corte, brocas, rebites, clips, grampos"
01,06,01.06,Químicos e Acabamentos,"Tintas, thinners, lubrificantes, óleos, desengraxantes"
02,01,02.01,Cabos e Condutores,"Cabos PP, multivias, flexíveis por bitola, cabos especiais"
02,02,02.02,Comandos e Controle,"Inversores frequência, quadros comando, contatores, disjuntores, relés"
02,03,02.03,Dispositivos de Interface,"Botoeiras cabina/pavimento, displays, IPDs, seletores"
02,04,02.04,Sensores e Segurança,"Sensores magnéticos, fins de curso, barreiras infravermelhas"
02,05,02.05,Iluminação e Climatização,"Luminárias, ventiladores, lâmpadas LED, acessórios iluminação"
02,06,02.06,Instalação Elétrica,"Conduletes, eletrodutos, abraçadeiras, fusíveis, fitas isolantes"
03,01,03.01,Guias e Trilhos,"Guias T50, T70, T89 para cabina/contrapeso, guias completas"
03,02,03.02,Corrediças e Suportes,"Corrediças para guias (5mm, 10mm, 16mm), suportes, sapatas, calços"
03,03,03.03,Polias e Transmissão,"Polias tração, desvio, tensoras, rolamentos, buchas, eixos"
03,04,03.04,Cabos de Aço e Tirantes,"Cabos aço 3/8, 5/16, tirantes completos, clips, grampos"
03,05,03.05,Sistema de Freios e Segurança,"Freios instantâneos, limitadores velocidade, polias tensoras"
03,06,03.06,Contrapesos,"Estruturas contrapeso, pedras padronizadas, suportes específicos"
04,01,04.01,Portas de Cabina,"Portas completas Hydra, Fermator, operadores automáticos"
04,02,04.02,Portas de Pavimento,"Portas Augusta Evo, sistemas batente, suspensões, soleiras"
04,03,04.03,Acessórios de Porta,"Trincos, travas, roldanas, guiadores, módulos eletrônicos, patins"
05,01,05.01,Estrutura Principal,"Longarinas, travessas por espessura, perfis internos/externos"
05,02,05.02,Plataforma e Acabamentos,"Junções, reforços, acabamentos internos, pisos especiais"
05,03,05.03,Acessórios de Cabina,"Suportes diversos, mãos francesas, pés cabeceira, complementos"
06,01,06.01,Motores Elétricos,"Motores por potência (7,5CV, 10CV, 12CV, etc.), motores especiais"
06,02,06.02,Motorfreios e Acionamentos,"Motorfreios integrados, sistemas frenagem elétrica"
06,03,06.03,Máquinas de Tração Completas,"Máquinas tração prontas (Akis, Volpi, etc.), conjuntos integrados"
06,04,06.04,Redutores e Transmissão,"Redutores coroa/rosca, motorreductores, transmissões mecânicas"
99,01,99.01,Equipamentos de Proteção Individual,"Capacetes, óculos, luvas, cintos paraquedistas, talabartes"
99,02,99.02,Ferramentas Elétricas,"Furadeiras, esmerilhadeiras, marteletes, inversores solda"
99,03,99.03,Ferramentas Manuais,"Chaves combinadas, alicates, martelos, jogos ferramentas"
99,04,99.04,Instrumentos de Medição,"Níveis, medidores laser, amperímetros, instrumentos precisão"
99,05,99.05,Material de Apoio à Obra,"Compensados, lonas, fitas, materiais proteção/sinalização"
99,06,99.06,Equipamentos de Movimentação,"Talhas manuais, equipamentos içamento, acessórios transporte"
99,07,99.07,Consumíveis Diversos,"Materiais limpeza, etiquetas, papelaria, itens escritório produção"
